日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-10,600157,1.95,2.01,2.14,1.92,43432514,8748469453.0,11.28,3.08,0.06,19.55
2024-12-11,600157,1.95,1.95,1.99,1.86,29418050,5687376780.0,6.47,-2.99,-0.06,13.24
2024-12-12,600157,1.93,1.91,2.0,1.88,22226051,4280480770.0,6.15,-2.05,-0.04,10.0
2024-12-13,600157,1.89,1.85,1.93,1.83,20129220,3757755301.0,5.24,-3.14,-0.06,9.06
2024-12-16,600157,1.85,1.88,1.93,1.83,17381039,3258836618.0,5.41,1.62,0.03,7.82
2024-12-17,600157,1.86,1.81,1.87,1.78,15086205,2738135609.0,4.79,-3.72,-0.07,6.79
2024-12-18,600157,1.83,1.99,1.99,1.82,18776695,3660327567.0,9.39,9.94,0.18,8.45
2024-12-19,600157,1.99,1.92,2.0,1.9,25829899,5007427291.0,5.03,-3.52,-0.07,11.63
2024-12-20,600157,1.91,1.88,1.98,1.87,15976561,3055758487.0,5.73,-2.08,-0.04,7.19
2024-12-23,600157,1.88,1.85,1.9,1.83,11993654,2229778996.0,3.72,-1.6,-0.03,5.4
2024-12-24,600157,1.84,1.88,1.94,1.84,15281939,2888146532.0,5.41,1.62,0.03,6.88
2024-12-25,600157,1.87,1.83,1.88,1.81,10784081,1975495023.0,3.72,-2.66,-0.05,4.85
2024-12-26,600157,1.82,1.82,1.84,1.8,8178241,1489466904.0,2.19,-0.55,-0.01,3.68
2024-12-27,600157,1.81,1.83,1.86,1.8,9155148,1680187823.0,3.3,0.55,0.01,4.12
2024-12-30,600157,1.83,1.79,1.83,1.77,9698086,1741647806.0,3.28,-2.19,-0.04,4.37
2024-12-31,600157,1.79,1.71,1.8,1.71,11313043,1970083633.0,5.03,-4.47,-0.08,5.09
2025-01-02,600157,1.71,1.67,1.74,1.66,10820029,1838793570.0,4.68,-2.34,-0.04,4.87
2025-01-03,600157,1.7,1.63,1.72,1.62,10139471,1677054597.0,5.99,-2.4,-0.04,4.56
2025-01-06,600157,1.62,1.61,1.65,1.58,9764226,1575140342.0,4.29,-1.23,-0.02,4.39
2025-01-07,600157,1.61,1.64,1.65,1.59,8630707,1394641258.0,3.73,1.86,0.03,3.88
2025-01-08,600157,1.63,1.6,1.63,1.56,10107856,1612743080.0,4.27,-2.44,-0.04,4.55
2025-01-09,600157,1.59,1.61,1.64,1.58,8895772,1435637492.0,3.75,0.63,0.01,4.0
2025-01-10,600157,1.6,1.56,1.62,1.55,7721485,1221978687.0,4.35,-3.11,-0.05,3.48
2025-01-13,600157,1.53,1.55,1.57,1.51,7608650,1171337181.0,3.85,-0.64,-0.01,3.42
2025-01-14,600157,1.54,1.62,1.62,1.54,10109602,1608943012.0,5.16,4.52,0.07,4.55
2025-01-15,600157,1.61,1.58,1.61,1.58,6757903,1076446206.0,1.85,-2.47,-0.04,3.04
2025-01-16,600157,1.59,1.59,1.64,1.58,8548715,1375608013.0,3.8,0.63,0.01,3.85
2025-01-17,600157,1.58,1.59,1.6,1.57,5315037,843003676.0,1.89,0.0,0.0,2.39
2025-01-20,600157,1.61,1.59,1.62,1.58,6128363,978473304.0,2.52,0.0,0.0,2.76
2025-01-21,600157,1.59,1.57,1.6,1.56,5200071,820825589.0,2.52,-1.26,-0.02,2.34
2025-01-22,600157,1.57,1.56,1.58,1.55,4707220,736548829.0,1.91,-0.64,-0.01,2.12
2025-01-23,600157,1.58,1.55,1.61,1.55,7860399,1244086337.0,3.85,-0.64,-0.01,3.54
2025-01-24,600157,1.56,1.56,1.58,1.54,5925465,923860477.0,2.58,0.65,0.01,2.67
2025-01-27,600157,1.57,1.56,1.6,1.55,6321904,994845301.0,3.21,0.0,0.0,2.85
2025-02-05,600157,1.57,1.55,1.58,1.54,4986703,773541137.0,2.56,-0.64,-0.01,2.24
2025-02-06,600157,1.54,1.57,1.57,1.52,7632878,1181530597.0,3.23,1.29,0.02,3.44
2025-02-07,600157,1.56,1.61,1.64,1.55,12902042,2073389910.0,5.73,2.55,0.04,5.81
2025-02-10,600157,1.59,1.65,1.71,1.59,12494251,2064460052.0,7.45,2.48,0.04,5.62
2025-02-11,600157,1.65,1.62,1.66,1.6,7100652,1148517625.0,3.64,-1.82,-0.03,3.2
2025-02-12,600157,1.61,1.62,1.62,1.59,6880589,1103544018.0,1.85,0.0,0.0,3.1
2025-02-13,600157,1.61,1.6,1.62,1.59,6269624,1007595621.0,1.85,-1.23,-0.02,2.82
2025-02-14,600157,1.6,1.58,1.61,1.57,6577165,1044243777.0,2.5,-1.25,-0.02,2.96
2025-02-17,600157,1.58,1.59,1.6,1.57,7255572,1151019341.0,1.9,0.63,0.01,3.27
2025-02-18,600157,1.59,1.55,1.6,1.54,7467773,1170940988.0,3.77,-2.52,-0.04,3.36
2025-02-19,600157,1.54,1.55,1.56,1.53,5655413,874876857.0,1.94,0.0,0.0,2.55
2025-02-20,600157,1.55,1.55,1.56,1.53,5576786,862646796.0,1.94,0.0,0.0,2.51
2025-02-21,600157,1.55,1.55,1.56,1.53,6414281,991793125.0,1.94,0.0,0.0,2.89
2025-02-24,600157,1.55,1.56,1.61,1.54,8484934,1332979842.0,4.52,0.65,0.01,3.82
2025-02-25,600157,1.55,1.54,1.58,1.54,7077351,1099987594.0,2.56,-1.28,-0.02,3.19
2025-02-26,600157,1.54,1.57,1.57,1.54,6558789,1021243911.0,1.95,1.95,0.03,2.95
2025-02-27,600157,1.57,1.55,1.6,1.54,7093476,1109630503.0,3.82,-1.27,-0.02,3.19
2025-02-28,600157,1.55,1.52,1.55,1.51,7370712,1129556387.0,2.58,-1.94,-0.03,3.32
2025-03-03,600157,1.52,1.51,1.53,1.51,4449934,675637446.0,1.32,-0.66,-0.01,2.0
2025-03-04,600157,1.5,1.49,1.51,1.48,5213823,777114795.0,1.99,-1.32,-0.02,2.35
2025-03-05,600157,1.49,1.47,1.5,1.45,7052706,1032097214.0,3.36,-1.34,-0.02,3.17
2025-03-06,600157,1.48,1.49,1.5,1.47,6138297,914286292.0,2.04,1.36,0.02,2.76
2025-03-07,600157,1.48,1.47,1.49,1.46,4890682,721685779.0,2.01,-1.34,-0.02,2.2
2025-03-10,600157,1.46,1.47,1.48,1.46,3281125,481285131.0,1.36,0.0,0.0,1.48
2025-03-11,600157,1.46,1.46,1.46,1.44,4746578,688696697.0,1.36,-0.68,-0.01,2.14
2025-03-12,600157,1.46,1.46,1.47,1.45,3048780,445730022.0,1.37,0.0,0.0,1.37
2025-03-13,600157,1.46,1.55,1.6,1.45,18006942,2762615976.0,10.27,6.16,0.09,8.1
2025-03-14,600157,1.52,1.53,1.54,1.5,10959303,1662020003.0,2.58,-1.29,-0.02,4.93
2025-03-17,600157,1.53,1.52,1.57,1.52,6204646,954163745.0,3.27,-0.65,-0.01,2.79
2025-03-18,600157,1.53,1.51,1.54,1.5,4958938,751946592.0,2.63,-0.66,-0.01,2.23
2025-03-19,600157,1.5,1.5,1.52,1.5,4119727,621449427.0,1.32,-0.66,-0.01,1.85
2025-03-20,600157,1.5,1.51,1.53,1.5,5299353,802149980.0,2.0,0.67,0.01,2.39
2025-03-21,600157,1.5,1.49,1.52,1.48,5389190,808432373.0,2.65,-1.32,-0.02,2.43
2025-03-24,600157,1.48,1.47,1.49,1.46,4775969,703204521.0,2.01,-1.34,-0.02,2.15
2025-03-25,600157,1.48,1.48,1.5,1.47,4736211,702913133.0,2.04,0.68,0.01,2.13
2025-03-26,600157,1.48,1.48,1.5,1.47,3452333,512543460.0,2.03,0.0,0.0,1.55
2025-03-27,600157,1.49,1.48,1.5,1.47,4304535,638235770.0,2.03,0.0,0.0,1.94
2025-03-28,600157,1.47,1.46,1.48,1.45,3966502,580646633.0,2.03,-1.35,-0.02,1.79
2025-03-31,600157,1.45,1.44,1.46,1.43,4734903,683084481.0,2.05,-1.37,-0.02,2.13
2025-04-01,600157,1.44,1.46,1.46,1.44,3036470,440802462.0,1.39,1.39,0.02,1.37
2025-04-02,600157,1.46,1.45,1.46,1.44,2299031,333630261.0,1.37,-0.68,-0.01,1.03
2025-04-03,600157,1.44,1.46,1.46,1.44,2594935,376607589.0,1.38,0.69,0.01,1.17
2025-04-07,600157,1.4,1.31,1.41,1.31,8580321,1153696638.0,6.85,-10.27,-0.15,3.86
2025-04-08,600157,1.3,1.33,1.35,1.3,5932769,787967998.0,3.82,1.53,0.02,2.67
2025-04-09,600157,1.31,1.35,1.36,1.25,8034169,1056352039.0,8.27,1.5,0.02,3.62
2025-04-10,600157,1.37,1.36,1.39,1.36,6229172,855716808.0,2.22,0.74,0.01,2.8
2025-04-11,600157,1.35,1.36,1.38,1.34,3908203,533490046.0,2.94,0.0,0.0,1.76
2025-04-14,600157,1.37,1.38,1.39,1.37,4384396,604705992.0,1.47,1.47,0.02,1.97
2025-04-15,600157,1.38,1.37,1.39,1.36,2439685,333899512.0,2.17,-0.72,-0.01,1.1
2025-04-16,600157,1.36,1.36,1.38,1.34,4209336,571011674.0,2.92,-0.73,-0.01,1.89
2025-04-17,600157,1.35,1.36,1.37,1.34,2877792,391569898.0,2.21,0.0,0.0,1.3
2025-04-18,600157,1.35,1.36,1.36,1.34,2470578,334101508.0,1.47,0.0,0.0,1.11
2025-04-21,600157,1.36,1.37,1.38,1.35,3306485,452591751.0,2.21,0.74,0.01,1.49
2025-04-22,600157,1.36,1.36,1.38,1.36,2537427,347348929.0,1.46,-0.73,-0.01,1.14
2025-04-23,600157,1.37,1.36,1.38,1.36,1848373,252599208.0,1.47,0.0,0.0,0.83
2025-04-24,600157,1.36,1.35,1.37,1.34,3132082,424737012.0,2.21,-0.74,-0.01,1.41
2025-04-25,600157,1.36,1.39,1.43,1.35,8816039,1227193346.0,5.93,2.96,0.04,3.97
2025-04-28,600157,1.39,1.36,1.39,1.36,4208053,576821035.0,2.16,-2.16,-0.03,1.89
2025-04-29,600157,1.34,1.35,1.36,1.33,3991375,536208245.0,2.21,-0.74,-0.01,1.8
2025-04-30,600157,1.34,1.34,1.36,1.33,3521461,473463949.0,2.22,-0.74,-0.01,1.58
2025-05-06,600157,1.35,1.36,1.37,1.34,3828410,520551776.0,2.24,1.49,0.02,1.72
2025-05-07,600157,1.37,1.37,1.39,1.36,3269160,448048040.0,2.21,0.74,0.01,1.47
2025-05-08,600157,1.36,1.37,1.38,1.36,2441748,334856078.0,1.46,0.0,0.0,1.1
2025-05-09,600157,1.38,1.36,1.38,1.36,1859506,253591596.0,1.46,-0.73,-0.01,0.84
2025-05-12,600157,1.36,1.37,1.37,1.35,1983665,270198294.0,1.47,0.74,0.01,0.89
2025-05-13,600157,1.38,1.37,1.39,1.37,2540210,349422896.0,1.46,0.0,0.0,1.14
2025-05-14,600157,1.37,1.37,1.38,1.35,4136821,565495843.0,2.19,0.0,0.0,1.86
2025-05-15,600157,1.36,1.36,1.38,1.36,3118511,426801136.0,1.46,-0.73,-0.01,1.4
2025-05-16,600157,1.37,1.36,1.38,1.36,2245050,306596591.0,1.47,0.0,0.0,1.01
2025-05-19,600157,1.37,1.36,1.37,1.35,1982299,269899723.0,1.47,0.0,0.0,0.89
2025-05-20,600157,1.37,1.36,1.37,1.36,1528289,208239440.0,0.74,0.0,0.0,0.69
2025-05-21,600157,1.36,1.38,1.4,1.36,6938634,959081988.0,2.94,1.47,0.02,3.12
2025-05-22,600157,1.37,1.36,1.38,1.36,3174585,433587352.0,1.45,-1.45,-0.02,1.43
2025-05-23,600157,1.36,1.35,1.37,1.35,2668406,362190707.0,1.47,-0.74,-0.01,1.2
2025-05-26,600157,1.35,1.35,1.36,1.34,2248082,303172182.0,1.48,0.0,0.0,1.01
2025-05-27,600157,1.34,1.34,1.35,1.34,1420892,190800177.0,0.74,-0.74,-0.01,0.64
2025-05-28,600157,1.35,1.34,1.35,1.34,1171138,157277284.0,0.75,0.0,0.0,0.53
2025-05-29,600157,1.35,1.35,1.37,1.34,3507665,475660781.0,2.24,0.75,0.01,1.58
2025-05-30,600157,1.36,1.35,1.37,1.35,2369440,321100565.0,1.48,0.0,0.0,1.07
2025-06-03,600157,1.35,1.35,1.36,1.34,2317457,312511263.0,1.48,0.0,0.0,1.04
2025-06-04,600157,1.35,1.35,1.36,1.34,1631937,220593457.0,1.48,0.0,0.0,0.73
2025-06-05,600157,1.36,1.35,1.36,1.34,2226102,300835194.0,1.48,0.0,0.0,1.0
2025-06-06,600157,1.35,1.35,1.36,1.35,1268613,171579100.0,0.74,0.0,0.0,0.57
2025-06-09,600157,1.35,1.36,1.37,1.35,2997293,408117977.0,1.48,0.74,0.01,1.35
2025-06-10,600157,1.36,1.35,1.37,1.34,3305848,448143462.0,2.21,-0.74,-0.01,1.49
2025-06-11,600157,1.35,1.35,1.37,1.35,3508476,475999721.0,1.48,0.0,0.0,1.58
2025-06-12,600157,1.35,1.35,1.36,1.34,3761407,507971168.0,1.48,0.0,0.0,1.69
2025-06-13,600157,1.35,1.35,1.35,1.34,4879702,656399155.0,0.74,0.0,0.0,2.2
2025-06-16,600157,1.34,1.34,1.35,1.34,1795233,241230769.0,0.74,-0.74,-0.01,0.81
2025-06-17,600157,1.34,1.35,1.35,1.33,2134257,286488206.0,1.49,0.75,0.01,0.96
2025-06-18,600157,1.34,1.34,1.35,1.33,2317401,310226652.0,1.48,-0.74,-0.01,1.04
2025-06-19,600157,1.34,1.32,1.34,1.31,3259191,432157919.0,2.24,-1.49,-0.02,1.47
2025-06-20,600157,1.31,1.33,1.34,1.31,3509820,467063268.0,2.27,0.76,0.01,1.58
2025-06-23,600157,1.33,1.34,1.35,1.32,3460605,463962022.0,2.26,0.75,0.01,1.56
2025-06-24,600157,1.35,1.35,1.35,1.34,1845336,248033394.0,0.75,0.75,0.01,0.83
2025-06-25,600157,1.35,1.35,1.36,1.34,3892646,524674143.0,1.48,0.0,0.0,1.75
2025-06-26,600157,1.35,1.34,1.35,1.34,1926706,258773202.0,0.74,-0.74,-0.01,0.87
2025-06-27,600157,1.35,1.34,1.35,1.33,3031297,406586204.0,1.49,0.0,0.0,1.36
2025-06-30,600157,1.34,1.34,1.35,1.33,2326533,310921155.0,1.49,0.0,0.0,1.05
2025-07-01,600157,1.33,1.33,1.34,1.33,1634149,217815612.0,0.75,-0.75,-0.01,0.74
2025-07-02,600157,1.34,1.37,1.41,1.33,10151040,1384803663.0,6.02,3.01,0.04,4.65
2025-07-03,600157,1.36,1.36,1.37,1.35,4832759,657109274.0,1.46,-0.73,-0.01,2.22
2025-07-04,600157,1.36,1.39,1.42,1.35,9100581,1268683168.0,5.15,2.21,0.03,4.17
2025-07-07,600157,1.41,1.42,1.44,1.4,8624818,1228349468.0,2.88,2.16,0.03,3.95
2025-07-08,600157,1.42,1.41,1.42,1.39,6200562,871492082.0,2.11,-0.7,-0.01,2.84
2025-07-09,600157,1.41,1.41,1.43,1.4,4977571,702510967.0,2.13,0.0,0.0,2.28
2025-07-10,600157,1.4,1.42,1.43,1.4,5593239,791674690.0,2.13,0.71,0.01,2.56
2025-07-11,600157,1.42,1.44,1.47,1.41,8728155,1261131553.0,4.23,1.41,0.02,4.0
2025-07-14,600157,1.44,1.45,1.48,1.43,6987538,1017078404.0,3.47,0.69,0.01,3.2
2025-07-15,600157,1.44,1.39,1.44,1.38,8233999,1155631918.0,4.14,-4.14,-0.06,3.77
2025-07-16,600157,1.39,1.39,1.41,1.38,4087247,569544574.0,2.16,0.0,0.0,1.87
2025-07-17,600157,1.39,1.39,1.4,1.38,3143334,436718016.0,1.44,0.0,0.0,1.44
2025-07-18,600157,1.4,1.4,1.41,1.39,3539849,495299829.0,1.44,0.72,0.01,1.62
2025-07-21,600157,1.4,1.43,1.44,1.4,6579580,936707251.0,2.86,2.14,0.03,3.02
2025-07-22,600157,1.44,1.47,1.47,1.42,9098404,1318648968.0,3.5,2.8,0.04,4.17
2025-07-23,600157,1.5,1.45,1.52,1.44,9587939,1419477097.0,5.44,-1.36,-0.02,4.39
2025-07-24,600157,1.45,1.53,1.58,1.45,17690479,2676089895.0,8.97,5.52,0.08,8.11
2025-07-25,600157,1.54,1.51,1.55,1.49,9309433,1409790076.0,3.92,-1.31,-0.02,4.27
2025-07-28,600157,1.49,1.46,1.49,1.46,7580905,1118297586.0,1.99,-3.31,-0.05,3.47
2025-07-29,600157,1.46,1.47,1.48,1.45,5123435,750874102.0,2.05,0.68,0.01,2.35
2025-07-30,600157,1.47,1.47,1.49,1.45,5083336,749522994.0,2.72,0.0,0.0,2.33
2025-07-31,600157,1.46,1.43,1.47,1.42,6125727,882405693.0,3.4,-2.72,-0.04,2.81
2025-08-01,600157,1.43,1.42,1.44,1.42,2543341,363242899.0,1.4,-0.7,-0.01,1.17
2025-08-04,600157,1.42,1.43,1.44,1.42,2483909,355092896.0,1.41,0.7,0.01,1.14
2025-08-05,600157,1.43,1.45,1.46,1.43,3091464,447059956.0,2.1,1.4,0.02,1.42
2025-08-06,600157,1.45,1.45,1.46,1.43,3935817,569737824.0,2.07,0.0,0.0,1.8
2025-08-07,600157,1.45,1.45,1.46,1.44,2864218,415159764.0,1.38,0.0,0.0,1.31
2025-08-08,600157,1.45,1.45,1.46,1.44,2730692,395962329.0,1.38,0.0,0.0,1.25
2025-08-11,600157,1.45,1.45,1.46,1.45,1931138,280692145.0,0.69,0.0,0.0,0.89
2025-08-12,600157,1.45,1.45,1.46,1.45,2057272,298700625.0,0.69,0.0,0.0,0.94
2025-08-13,600157,1.46,1.45,1.46,1.44,3942256,571655949.0,1.38,0.0,0.0,1.81
2025-08-14,600157,1.46,1.42,1.46,1.41,5129894,734950496.0,3.45,-2.07,-0.03,2.35
2025-08-15,600157,1.41,1.42,1.43,1.41,3176876,451281340.0,1.41,0.0,0.0,1.46
2025-08-18,600157,1.43,1.44,1.45,1.43,4642341,668820643.0,1.41,1.41,0.02,2.13
2025-08-19,600157,1.45,1.44,1.45,1.43,3070439,442085860.0,1.39,0.0,0.0,1.41
2025-08-20,600157,1.43,1.44,1.44,1.42,3364250,481366774.0,1.39,0.0,0.0,1.54
2025-08-21,600157,1.44,1.46,1.48,1.43,6882364,1000301333.0,3.47,1.39,0.02,3.15
2025-08-22,600157,1.45,1.47,1.47,1.44,5421759,790184885.0,2.05,0.68,0.01,2.49
2025-08-25,600157,1.47,1.5,1.52,1.46,8540950,1274337061.0,4.08,2.04,0.03,3.91
2025-08-26,600157,1.5,1.52,1.53,1.48,8882589,1343202993.0,3.33,1.33,0.02,4.07
2025-08-27,600157,1.51,1.48,1.54,1.47,8477040,1277018574.0,4.61,-2.63,-0.04,3.89
2025-08-28,600157,1.47,1.47,1.49,1.43,7581630,1107689410.0,4.05,-0.68,-0.01,3.47
2025-08-29,600157,1.47,1.45,1.48,1.45,4547969,664822214.0,2.04,-1.36,-0.02,2.08
2025-09-01,600157,1.45,1.47,1.48,1.44,4834071,705793681.0,2.76,1.38,0.02,2.22
2025-09-02,600157,1.46,1.49,1.52,1.45,9641123,1433243469.0,4.76,1.36,0.02,4.42
2025-09-03,600157,1.48,1.44,1.49,1.43,7329688,1068176483.0,4.03,-3.36,-0.05,3.36
2025-09-04,600157,1.44,1.42,1.45,1.41,5887724,842665543.0,2.78,-1.39,-0.02,2.7
2025-09-05,600157,1.42,1.44,1.44,1.41,4074528,581577397.0,2.11,1.41,0.02,1.87
2025-09-08,600157,1.43,1.44,1.46,1.43,3671707,530668427.0,2.08,0.0,0.0,1.68
2025-09-09,600157,1.44,1.44,1.46,1.43,4666208,674409506.0,2.08,0.0,0.0,2.14
2025-09-10,600157,1.44,1.44,1.45,1.43,2459659,353772691.0,1.39,0.0,0.0,1.13
2025-09-11,600157,1.43,1.45,1.46,1.42,6686834,962974060.0,2.78,0.69,0.01,3.06
2025-09-12,600157,1.45,1.49,1.51,1.44,11638450,1718648872.0,4.83,2.76,0.04,5.33
2025-09-15,600157,1.49,1.53,1.55,1.48,11705632,1779045144.0,4.7,2.68,0.04,5.37
2025-09-16,600157,1.54,1.56,1.58,1.52,13510601,2094847140.0,3.92,1.96,0.03,6.19
2025-09-17,600157,1.56,1.55,1.56,1.52,8735614,1347750281.0,2.56,-0.64,-0.01,4.0
2025-09-18,600157,1.58,1.71,1.71,1.58,21453842,3626473264.0,8.39,10.32,0.16,9.83
2025-09-19,600157,1.78,1.69,1.85,1.63,39873311,6895507104.0,12.87,-1.17,-0.02,18.28
2025-09-22,600157,1.65,1.62,1.7,1.61,18719810,3080490178.0,5.33,-4.14,-0.07,8.58
2025-09-23,600157,1.63,1.72,1.78,1.62,26110264,4467295678.0,9.88,6.17,0.1,11.97
2025-09-24,600157,1.68,1.66,1.69,1.64,15214053,2523929702.0,2.91,-3.49,-0.06,6.97
2025-09-25,600157,1.65,1.61,1.65,1.6,11990260,1946352017.0,3.01,-3.01,-0.05,5.5
2025-09-26,600157,1.61,1.61,1.65,1.6,8227536,1332740116.0,3.11,0.0,0.0,3.77
2025-09-29,600157,1.6,1.62,1.63,1.57,9023633,1442011915.0,3.73,0.62,0.01,4.14
2025-09-30,600157,1.62,1.63,1.65,1.61,7779923,1269263804.0,2.47,0.62,0.01,3.57
2025-10-09,600157,1.65,1.7,1.73,1.64,13935219,2338655850.0,5.52,4.29,0.07,6.39
2025-10-10,600157,1.69,1.72,1.76,1.67,14043716,2416368262.0,5.29,1.18,0.02,6.44
2025-10-13,600157,1.67,1.74,1.75,1.65,12883888,2200714703.0,5.81,1.16,0.02,5.91
2025-10-14,600157,1.75,1.7,1.79,1.69,13532849,2353982852.0,5.75,-2.3,-0.04,6.2
