日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-01-09,0.992,1.004,0.99,1.0,85457700,85457700.0,0.0,0.0,,0.0,0,0.0,0,513720,N香港互联网ETF,2026-01-12 02:30:43
2026-01-12,1.006,1.05,1.005,1.044,138445000,144536584.09,0.0,0.0,,0.0,0,0.0,0,513720,N香港互联网ETF,2026-01-13 03:57:18
2026-01-13,1.07,1.098,1.033,1.045,51162300,53464601.3,0.0,0.0,,0.0,0,0.0,0,513720,N香港互联网ETF,2026-01-14 05:23:30
2026-01-14,1.047,1.078,1.047,1.068,42481200,45369919.86,0.0,0.0,,0.0,0,0.0,0,513720,N香港互联网ETF,2026-01-15 02:21:21
2026-01-15,1.067,1.07,1.044,1.048,28762100,30142680.17,0.0,0.0,,0.0,0,0.0,0,513720,N香港互联网ETF,2026-01-16 03:47:37
2026-01-16,1.06,1.063,1.036,1.037,19680200,20408366.24,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-19 02:26:14
2026-01-19,1.025,1.03,1.016,1.018,22896100,23308229.95,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-20 03:53:10
2026-01-20,1.017,1.027,1.007,1.011,23670000,23930370.88,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-21 05:20:07
2026-01-21,1.0,1.018,1.0,1.017,17207900,17500433.61,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-22 02:18:31
2026-01-22,1.026,1.03,1.015,1.018,20937300,21314171.54,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-23 02:39:09
2026-01-23,1.026,1.035,1.023,1.025,24609700,25224941.91,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-26 03:51:08
2026-01-26,1.028,1.029,1.009,1.015,6227100,6320506.41,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-27 05:18:58
2026-01-27,1.016,1.026,1.009,1.025,15331600,15714889.63,0.0,0.0,,0.0,0,0.0,0,513720,香港互联网ETF,2026-01-28 05:40:10
