日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率,IOPV,溢价率
2025-03-13,0.993,0.993,0.95,0.954,503202,48877134.0,4.33,-3.83,-0.038,5.57,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-14,0.957,0.974,0.954,0.974,371097,35793461.0,2.1,2.1,0.02,4.11,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-17,0.976,0.978,0.959,0.971,205496,19838787.0,1.95,-0.31,-0.003,2.28,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-18,0.971,0.989,0.971,0.981,163972,16057449.0,1.85,1.03,0.01,1.82,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-19,0.983,0.983,0.961,0.966,193381,18730484.0,2.24,-1.53,-0.015,2.14,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-20,0.966,0.974,0.959,0.959,152194,14707715.0,1.55,-0.72,-0.007,1.69,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-21,0.96,0.961,0.921,0.926,403154,37737649.0,4.17,-3.44,-0.033,4.46,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-24,0.924,0.937,0.914,0.934,175748,16263342.0,2.48,0.86,0.008,1.95,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-25,0.931,0.934,0.907,0.909,170621,15602067.0,2.89,-2.68,-0.025,1.89,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-26,0.91,0.925,0.91,0.914,130285,11964480.0,1.65,0.55,0.005,1.44,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-27,0.91,0.944,0.91,0.927,180722,16768014.0,3.72,1.42,0.013,2.0,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-28,0.925,0.931,0.916,0.918,67578,6221199.0,1.62,-0.97,-0.009,0.75,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-03-31,0.915,0.928,0.903,0.926,144832,13236141.0,2.72,0.87,0.008,1.6,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-01,0.926,0.932,0.912,0.917,157270,14529912.0,2.16,-0.97,-0.009,1.74,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-02,0.913,0.925,0.913,0.916,112931,10374533.0,1.31,-0.11,-0.001,1.25,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-03,0.914,0.915,0.881,0.89,311355,27854163.0,3.71,-2.84,-0.026,3.45,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-07,0.848,0.848,0.73,0.766,309550,24613568.0,13.26,-13.93,-0.124,3.43,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-08,0.772,0.793,0.755,0.772,154782,11981181.0,4.96,0.78,0.006,1.71,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-09,0.758,0.816,0.74,0.802,176911,14019142.0,9.84,3.89,0.03,1.96,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-10,0.818,0.845,0.818,0.824,161980,13451103.0,3.37,2.74,0.022,1.79,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-11,0.823,0.865,0.803,0.852,213998,18092190.0,7.52,3.4,0.028,2.37,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-14,0.859,0.87,0.852,0.858,96490,8285580.0,2.11,0.7,0.006,1.07,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-15,0.857,0.858,0.839,0.848,100839,8521954.0,2.21,-1.17,-0.01,1.12,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-16,0.847,0.855,0.833,0.847,78683,6642544.0,2.59,-0.12,-0.001,0.87,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-17,0.837,0.867,0.837,0.857,81169,6983989.0,3.54,1.18,0.01,0.9,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-18,0.85,0.857,0.843,0.848,86864,7358447.0,1.63,-1.05,-0.009,0.96,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-21,0.848,0.864,0.847,0.862,68880,5911348.0,2.0,1.65,0.014,0.76,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-22,0.86,0.86,0.85,0.852,49312,4213629.0,1.16,-1.16,-0.01,0.55,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-23,0.855,0.871,0.855,0.865,105504,9118147.0,1.88,1.53,0.013,1.17,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-24,0.865,0.865,0.848,0.851,103764,8855645.0,1.97,-1.62,-0.014,1.15,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-25,0.852,0.86,0.847,0.853,53406,4558693.0,1.53,0.24,0.002,0.59,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-28,0.853,0.859,0.846,0.854,43141,3679469.0,1.52,0.12,0.001,0.48,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-29,0.85,0.865,0.842,0.861,92503,7936957.0,2.69,0.82,0.007,1.02,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-04-30,0.857,0.899,0.855,0.898,240219,21313014.0,5.11,4.3,0.037,2.66,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-06,0.91,0.912,0.895,0.912,148322,13436039.0,1.89,1.56,0.014,1.64,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-07,0.917,0.927,0.899,0.906,140793,12858347.0,3.07,-0.66,-0.006,1.56,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-08,0.901,0.908,0.9,0.903,78030,7048759.0,0.88,-0.33,-0.003,0.86,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-09,0.897,0.898,0.877,0.882,108960,9634838.0,2.33,-2.33,-0.021,1.21,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-12,0.882,0.897,0.882,0.897,83677,7458529.0,1.7,1.7,0.015,0.93,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-13,0.909,0.911,0.891,0.893,79625,7177687.0,2.23,-0.45,-0.004,0.88,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-14,0.893,0.902,0.885,0.893,88545,7923053.0,1.9,0.0,0.0,0.98,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-15,0.893,0.893,0.876,0.878,59543,5246094.0,1.9,-1.68,-0.015,0.66,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-16,0.879,0.887,0.87,0.876,44290,3885266.0,1.94,-0.23,-0.002,0.49,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-19,0.876,0.876,0.862,0.871,45417,3938352.0,1.6,-0.57,-0.005,0.5,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-20,0.87,0.883,0.869,0.88,64584,5664901.0,1.61,1.03,0.009,0.72,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-21,0.878,0.883,0.871,0.879,64297,5638999.0,1.36,-0.11,-0.001,0.71,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-22,0.874,0.888,0.874,0.879,83555,7374447.0,1.59,0.0,0.0,0.93,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-23,0.88,0.88,0.86,0.861,104347,9066582.0,2.28,-2.05,-0.018,1.16,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-26,0.861,0.864,0.855,0.862,56397,4844343.0,1.05,0.12,0.001,0.62,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-27,0.863,0.865,0.849,0.851,87149,7435587.0,1.86,-1.28,-0.011,0.96,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-28,0.85,0.854,0.847,0.852,32569,2770847.0,0.82,0.12,0.001,0.36,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-29,0.856,0.867,0.853,0.865,74825,6451564.0,1.64,1.53,0.013,0.83,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-05-30,0.863,0.863,0.845,0.85,69760,5913517.0,2.08,-1.73,-0.015,0.77,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-06-03,0.841,0.862,0.841,0.855,45873,3935322.0,2.47,0.59,0.005,0.51,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-06-04,0.852,0.859,0.852,0.856,28870,2470948.0,0.82,0.12,0.001,0.32,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
2025-06-05,0.855,0.879,0.853,0.878,109210,9506576.0,3.04,2.57,0.022,1.21,589520,科创人工智能ETF华宝,2025-10-09 21:01:57,-0.04%,,
